Timestamp,Location,Sensor,Usage_Duration_min,On/Off_Freq,EnergyConsum (kWh),Power_Consum_W,Value,Status_On/Off,Op_Voltage_Volts,Data_Trans_Freq, Sleep_Mode_Duration_sec,Sig_Strength_Range_meters,Alert
00:00,Lounge,CO2 Level,100,2,0.5,0.12,882,1,5,6,123,89,1
00:00,Porch,CO2 Level,86,3,0.7,0.17,720,1,5,9,185,57,0
00:00,Guest Room,CO2 Level,76,2,0.2,0.15,950,1,5,10,198,77,0
00:00,Living Room 1,CO2 Level,66,2,0.8,0.14,722,1,5,6,212,91,0
00:00,Living Room 2,CO2 Level,61,4,0.2,0.11,755,1,5,7,232,51,0
00:00,Kitchen,CO2 Level,45,3,0.1,0.11,653,1,5,5,195,83,0
00:00,Porch,Temperature,100,2,0.1,0.13,30,1,4.5,5,143,92,1
00:00,Living Room 1,Temperature,65,3,0.7,0.34,0,1,3.3,8,162,68,1
00:00,Living Room 2,Temperature,49,2,0.9,0.17,16,1,3.5,6,170,95,0
00:00,Kitchen,Temperature,58,3,0.5,0.17,6,1,4.6,10,179,94,0
00:00,Lounge,Temperature,72,4,0.1,0.12,11,1,4.5,9,225,87,0
00:00,Guest Room,Temperature,70,3,0.3,0.1,16,1,4,5,235,59,0
00:00,Living Room 1,Humidity,66,3,0.7,0.18,44,1,3.2,7,147,73,0
00:00,Lounge,Humidity,47,4,0.2,0.13,46,1,5,10,173,76,0
00:00,Kitchen,Humidity,87,1,0.2,0.14,33,1,3.7,10,236,77,0
00:00,Living Room 2,Humidity,36,3,0.1,0.2,39,1,4.5,6,196,88,0
00:00,Guest Room,Humidity,55,2,0.3,0.11,45,1,4,6,137,91,0
00:00,Porch,Humidity,87,4,0.3,0.12,40,1,3.1,4,212,96,0
00:00,Water Tank,Water Level,98,4,0.4,0.2,0.85,1,3.1,7,185,54,1
00:00,Living Room 2,Occupancy,68,1,0.2,0.19,6,1,3.1,6,222,86,0
00:00,Guest Room,Occupancy,55,3,0.6,0.18,8,1,4.7,9,207,52,0
00:00,Living Room 1,Occupancy,36,2,0.3,0.14,4,1,4.7,6,163,58,0
00:00,Kitchen,Occupancy,48,2,0.5,0.13,3,1,4.6,6,202,86,0
00:00,Porch,Occupancy,75,4,0.8,0.13,9,1,3.7,7,150,88,0
00:00,Lounge,Occupancy,48,3,0.1,0.11,10,1,3.9,6,154,87,0
00:00,Living Room 2,Light,43,2,0.7,0.12,994,1,4.3,8,171,51,0
00:00,Lounge,Light,79,1,0.6,0.19,907,1,4.2,9,126,73,0
00:00,Porch,Light,86,3,0.4,0.1,755,1,4.8,10,138,74,0
00:00,Living Room 1,Light,44,2,0.8,0.1,698,1,4.6,8,136,75,0
00:00,Guest Room,Light,76,4,0.2,0.12,867,1,3.5,9,173,86,0
00:00,Kitchen,Light,74,1,0.6,0.13,868,1,4.9,5,155,95,0
00:00,Living Room 2,Smoke,87,3,0.1,0.18,0,1,4.5,4,151,55,0
